S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
780,Garware Synthetics Ltd.,INE340D01016,114400,Textile - Spinning,Textile,4,
781,Sharad Fibres & Yarn Processors Ltd.,INE638N01012,114402,Textile,Textile,4,
782,Sarup Industries Ltd.,INE305D01019,114412,Household & Personal Products,FMCG,4,
783,Premier Polyfilm Ltd.,INE309M01012,114354,Plastic Products,Plastic Products,4,
784,Jyoti Resins & Adhesives Ltd.,INE577D01013,114448,Chemicals,Chemicals,4,
785,Mangalam Organics Ltd.,INE370D01013,114418,Chemicals,Chemicals,4,
786,Thambbi Modern Spinning Mills Ltd.,INE830D01016,114484,Textile - Spinning,Textile,4,
787,Mahalaxmi Rubtech Ltd.,INE112D01035,114450,Textile,Textile,4,
788,Southern Latex Ltd.,INE410M01018,114454,Textile,Textile,4,
789,Oswal Yarns Ltd.,INE670H01017,114460,Textile,Textile,4,
790,Asahi Industries Ltd.,INE745I01015,114482,Textile - Spinning,Textile,4,
791,Duroply Industries Ltd.,INE932D01010,116003,Wood & Wood Products,Construction Materials,4,
792,Madhusudan Industries Ltd.,INE469C01023,115059,Trading,Trading,4,
793,Regency Ceramics Ltd.,INE277C01012,115018,Ceramics/Marble/Granite/Sanitaryware,Construction Materials,4,
794,Yash Pakka Ltd.,INE551D01018,116030,Paper & Paper Products,Paper,4,
795,Restile Ceramics Ltd.,INE298E01022,115085,Ceramics/Marble/Granite/Sanitaryware,Construction Materials,4,
796,Asahi India Glass Ltd.,INE439A01020,115030,Glass,Construction Materials,5,
797,Sri Vajra Granites Ltd.,INE047H01018,115081,Ceramics/Marble/Granite/Sanitaryware,Construction Materials,5,
798,Sarda Papers Ltd.,INE385D01011,116032,Paper & Paper Products,Paper,5,
799,Madhav Marbles And Granites Ltd.,INE925C01016,115093,Ceramics/Marble/Granite/Sanitaryware,Construction Materials,5,
800,Ramasigns Industries Ltd.,INE650D01026,115127,Trading,Trading,5,
801,Hindusthan National Glass & Industries Ltd.,INE952A01022,115145,Glass,Construction Materials,5,
802,Murudeshwar Ceramics Ltd.,INE692B01014,115037,Ceramics/Marble/Granite/Sanitaryware,Construction Materials,5,
803,Anant Raj Ltd.,INE242C01024,115055,Construction - Real Estate,Realty,5,
804,Saint-Gobain Sekurit India Ltd.,INE068B01017,115043,Glass,Construction Materials,5,
805,Modern Insulators Ltd.,INE219W01012,115008,Electronics - Components,Electricals,5,
806,Star Paper Mills Ltd.,INE733A01018,116022,Paper & Paper Products,Paper,5,
807,Shreyans Industries Ltd.,INE231C01019,116016,Paper & Paper Products,Paper,5,
808,National Plywood Industries Ltd.,INE497C01016,116062,Wood & Wood Products,Construction Materials,5,
809,Arrow Greentech Ltd.,INE570D01018,116064,Miscellaneous,Miscellaneous,5,
810,Subros Ltd.,INE287B01021,117168,Auto Ancillary,Automobile & Ancillaries,5,
811,NR Agarwal Industries Ltd.,INE740D01017,116082,Paper & Paper Products,Paper,5,
812,Ador Welding Ltd.,INE045A01017,117041,Electrodes & Welding Equipment,Capital Goods,5,
813,Sangal Papers Ltd.,INE384D01022,116096,Paper & Paper Products,Paper,5,
814,Aplab Ltd.,INE273A01015,117096,Electric Equipment,Capital Goods,5,
815,South India Paper Mills Ltd.,INE088G01014,116108,Paper & Paper Products,Paper,5,
816,Effulgent Infomedia Ltd.,INE125G01014,117170,Electronics - Components,Electricals,5,
817,Vindhya Telelinks Ltd.,INE707A01012,117015,Engineering - Construction,Infrastructure,5,
